next_roshan_team,radiant_win,duration,time_remaining,game_time
,False,992,837,155
,True,1154,496,658
Radiant,True,1503,1482,21
,True,1952,1376,576
,False,2001,1548,453
,False,2063,1903,160
Radiant,True,2147,1131,1016
Dire,False,1927,1345,582
,False,2059,1423,636
,False,2287,1233,1054
,False,2423,626,1797
Radiant,False,2508,1903,605
Dire,False,2570,1056,1514
Dire,False,2737,1885,852
Radiant,False,2705,1984,721
Dire,True,2575,2564,11
Dire,False,2330,968,1362
Dire,True,2763,375,2388
Radiant,True,1685,933,752
Dire,False,2997,695,2302
Dire,False,2878,835,2043
,True,1479,749,730
Dire,False,2055,1215,840
,True,2075,120,1955
Dire,False,2697,2355,342
Radiant,True,1917,1763,154
Radiant,True,2895,1646,1249
Radiant,True,2016,1109,907
Radiant,True,2351,1696,655
Dire,False,2426,961,1465
,True,2179,525,1654
Dire,False,1635,727,908
Radiant,True,3218,227,2991
Dire,False,3374,2295,1079
,False,1156,1077,79
Dire,False,2330,1347,983
Radiant,True,1761,1025,736
Dire,False,1521,738,783
,False,2091,631,1460
Dire,False,1485,1434,51
,True,1377,1084,293
Dire,False,1893,1017,876
Radiant,True,1780,1761,19
Dire,False,2452,1609,843
Radiant,True,1163,1130,33
Dire,False,1434,489,945
,True,1647,700,947
,True,1245,348,897
,False,1249,870,379
,True,1994,503,1491
Dire,True,3268,2804,464
Dire,True,2988,2635,353
Radiant,True,2568,1975,593
Dire,False,2475,550,1925
,False,2864,114,2750
Radiant,True,3336,760,2576
Radiant,False,3234,3129,105
,False,2034,561,1473
,False,2328,1845,483
Radiant,True,3222,2793,429
,False,2118,193,1925
,False,1696,1628,68
,False,2452,322,2130
Dire,False,1283,722,561
Radiant,True,2762,1979,783
Dire,False,2337,767,1570
,False,1839,625,1214
,False,2298,515,1783
Radiant,True,2337,2124,213
,False,2773,94,2679
,False,1962,1490,472
,True,1184,212,972
,False,1765,434,1331
Radiant,True,2991,1110,1881
Radiant,True,2803,1817,986
Dire,False,1675,1074,601
,False,2199,460,1739
Radiant,True,2208,2160,48
Radiant,True,5224,3117,2107
,True,2810,286,2524
Dire,True,3460,1506,1954
Radiant,True,2488,1685,803
Radiant,False,3287,569,2718
Dire,False,2490,2436,54
Radiant,True,2178,1312,866
Dire,False,3307,2409,898
Radiant,True,2097,471,1626
,True,909,560,349
Dire,False,2257,1985,272
,True,1142,105,1037
Dire,False,2359,1062,1297
,True,1983,556,1427
Radiant,True,1590,1221,369
Radiant,True,1929,1334,595
,True,2083,1853,230
,True,2545,102,2443
Dire,False,3159,1031,2128
Dire,False,2498,1920,578
Radiant,True,2478,1699,779
,False,1124,716,408
